,campaign_name,adset_name,Region,Age Range,TargetAudience
12201,xCBO - USP Masterclass Cold [ 23rd Nov ] - More Volume - No Logic - India-  new link,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12202,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12203,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12204,USP_2_Lead-gen-2_Top4-states_050424,USP-2_AP_TS_050424,India: Andhra Pradesh; Telangana,25-35,CSE
12205,xCBO - USP Masterclass Cold [ 7th Dec ] - Higher Intent - No Logic -  new link India,Entrance Exam [ 7th Dec ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12206,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12207,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12208,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12209,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12210,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12211,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Related To Study In US [ 31st Oct ],nan,,
12212,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Related To Study In US [ 31st Oct ],nan,,
12213,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Entrance Exam [ 31st Oct ],nan,,
12214,xCBO - USP Masterclass Cold [ 23rd Nov ] - More Volume - No Logic - India-  new link,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12215,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12216,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Focusing On University [ 4th Nov ],nan,,
12217,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12218,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12219,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12220,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12221,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12222,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Entrance Exam [ 31st Oct ],nan,,
12223,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12224,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12225,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Entrance Exam [ 31st Oct ],nan,,
12226,xCBO - USP Masterclass Cold [ 7th Dec ] - Higher Intent - No Logic -  new link India,Open Targeting - Advantage+ audience [ 7th Dec ],India,25 - 30,
12227,USP Study Abroad_Generic_240224,All India focusing on Uni Ad Set_060324,nan,,
12228,USP Masterclass Cold [ 31st Oct ] - More volume - With Logic,Entrance Exam [ 31st Oct ],nan,,
12229,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Open Targeting - Advantage+ audience [ 31st Oct ],nan,,
12230,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12231,USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic - India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12232,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Entrance Exam [ 31st Oct ],nan,,
12233,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12234,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Entrance Exam [ 31st Oct ],nan,,
12235,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Focusing On University [ 23rd Nov ],India,25-30,Exclude: Gen_HSPass AvailUni and PostGrad
12236,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12237,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Focusing On University [ 4th Nov ],nan,,
12238,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12239,USP Masterclass Cold [ 31st Oct ] - Higher Intent - No Logic,Related To Study In US [ 31st Oct ],nan,,
12240,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12241,CBO - USP Masterclass Cold [ 23rd Nov ] - More volume - With Logic,Open Targeting - Advantage+ audience [ 31st Oct ],India,25 - 30,
12242,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Open Targeting - Advantage+ audience [ 23rd Nov ],India,25 - 30,
12243,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Related To Study In US [ 23rd Nov ],India,25 - 30,Abroad and PostGrad Exclude: Gen_HSPass
12244,CBO - USP Masterclass Cold [ 23rd Nov ] - Higher Intent - No Logic new-  India,Entrance Exam [ 23rd Nov ],India,25 - 30,LangTests and PostGrad Exclude: Gen_HSPass
12245,USP Study Abroad_Generic_240224,All India Counselling Look-a-like_290224,nan,,
12246,USP Masterclass Cold [ 31st Oct ] - More Volume - No Logic,Focusing On University [ 4th Nov ],nan,,
